Label,Preds
[[150.36482   12.127842 149.08253    6.125769  23.145746  22.66814 ]],[[155.2383     10.880802  154.25438     7.4100504  22.744564   21.774025 ]]
[[150.36119    12.122827  149.07777     6.0269704  23.223684   22.708937 ]],[[155.15594    10.747601  154.1925      7.8433905  22.67717    21.82849  ]]
[[150.35446    12.127224  149.0663      5.9468007  23.297543   22.755323 ]],[[155.07405   10.602495 154.13037    8.316682  22.668264  21.967175]]
[[150.34549   12.131009 149.05316    5.877947  23.357374  22.792265]],[[154.91385   10.427567 154.00888    8.28922   22.446465  21.876823]]
[[150.33769    12.134911  149.04077     5.8198586  23.40205    22.818737 ]],[[154.73717    10.333501  153.85205     7.4952426  22.343792   21.853073 ]]
[[150.33624    12.138985  149.03352     5.7675605  23.434086   22.838581 ]],[[154.32811    10.005488  153.47284     7.6722646  22.228157   22.642662 ]]
[[150.33969    12.146029  149.03094     5.7248507  23.454926   22.850985 ]],[[153.93382     9.789225  153.07585     7.4517817  22.583092   23.448376 ]]
[[150.33994    12.152399  149.02676     5.6943393  23.463196   22.857464 ]],[[153.76364     9.883616  152.8498      6.1081796  23.4239     23.798336 ]]
[[150.33897    12.163863  149.0198      5.6732883  23.465685   22.863539 ]],[[154.89326   10.461027 153.83253    4.393931  24.046785  23.115675]]
[[150.3377    12.174934 149.01198    5.660895  23.459776  22.8633  ]],[[155.35924    10.595695  154.21329     5.0000186  24.172163   23.02213  ]]
[[150.34206   12.188075 149.01059    5.6417    23.444702  22.85363 ]],[[155.37038    10.584023  154.18594     5.6246114  24.255568   22.949821 ]]
[[150.35104    12.20257   149.01291     5.6259775  23.42435    22.839285 ]],[[155.34859   10.515997 154.1575     6.397057  24.28246   22.862156]]
[[150.36014   12.219637 149.01578    5.618761  23.397049  22.822798]],[[155.30275   10.483153 154.10634    6.781598  24.298008  22.7475  ]]
[[150.36871   12.243232 149.01627    5.610288  23.372547  22.807138]],[[155.47067   10.66911  154.24232    6.772512  24.205019  22.604517]]
[[150.3781     12.2602415 149.01944     5.605645   23.336897   22.782036 ]],[[155.52989    10.920258  154.26343     6.5402765  24.064484   22.41043  ]]
[[150.3835    12.275404 149.0206     5.600529  23.296917  22.753414]],[[155.57016   11.12008  154.27591    6.366574  23.93803   22.24847 ]]
[[150.38892   12.297879 149.019      5.594232  23.258694  22.724052]],[[155.58589   11.283829 154.26938    6.239874  23.817226  22.12118 ]]
[[150.39542    12.319398  149.01854     5.5937147  23.21952    22.695122 ]],[[155.52632   11.427212 154.18845    6.258855  23.663538  22.000246]]
[[150.40324   12.339761 149.0195     5.591905  23.17768   22.660557]],[[155.4933     11.519757  154.14471     6.3110723  23.528244   21.907763 ]]
[[150.41402    12.355964  149.02502     5.5872273  23.132545   22.62065  ]],[[155.53716    11.582589  154.18167     6.3115253  23.540533   21.954319 ]]
[[150.4259     12.366791  149.03317     5.5835166  23.08108    22.573381 ]],[[155.5809     11.63685   154.21901     6.2940135  23.585056   22.029545 ]]
[[150.43925   12.38121  149.04169    5.584035  23.034557  22.532091]],[[155.60435   11.683125 154.237      6.290001  23.61798   22.092466]]
[[150.45308   12.391611 149.05179    5.586341  22.986843  22.487104]],[[155.61385    11.734335  154.24026     6.2847548  23.63319    22.140179 ]]
[[150.46352   12.394709 149.06104    5.589433  22.93604   22.436277]],[[155.6176     11.796218  154.23547     6.2806845  23.63033    22.17558  ]]
[[150.4707    12.399223 149.06642    5.597563  22.890026  22.389923]],[[155.68018    11.909379  154.27834     6.3097343  23.60236    22.204613 ]]
[[150.47662   12.403984 149.07098    5.609168  22.84594   22.346233]],[[155.77348    12.036229  154.34848     6.3473687  23.577864   22.241484 ]]
[[150.47752    12.406084  149.07188     5.6256747  22.803205   22.303917 ]],[[155.87312    12.135599  154.42938     6.3705688  23.553242   22.261444 ]]
[[150.47864   12.408039 149.07298    5.643058  22.763168  22.26438 ]],[[155.97783    12.236874  154.51645     6.3656106  23.528069   22.277452 ]]
[[150.48009   12.408072 149.07494    5.661432  22.726805  22.228977]],[[156.06378    12.337705  154.58493     6.3531375  23.517155   22.30498  ]]
[[150.48141    12.403784  149.07848     5.6815205  22.691673   22.193624 ]],[[156.12662   12.429437 154.63159    6.339358  23.516167  22.3404  ]]
[[150.48242    12.398986  149.08154     5.7038884  22.662983   22.164444 ]],[[156.17601    12.512432  154.6658      6.3273826  23.5279     22.387142 ]]
[[150.48232    12.393256  149.08391     5.7260275  22.638268   22.139181 ]],[[156.21072   12.586887 154.68665    6.318212  23.547596  22.441303]]
[[150.48308    12.385059  149.08765     5.7489276  22.616428   22.117983 ]],[[156.23228   12.652943 154.69588    6.313     23.56695   22.495485]]
[[150.48505   12.381949 149.09148    5.769514  22.602701  22.104118]],[[156.24065    12.713933  154.69295     6.2993298  23.586151   22.549992 ]]
[[150.48448    12.375236  149.09325     5.7933044  22.592113   22.093159 ]],[[156.23392   12.7701   154.6759     6.278299  23.607014  22.606335]]
[[150.48293   12.364836 149.09512    5.816415  22.586601  22.086409]],[[156.22049    12.821516  154.65335     6.2577453  23.624168   22.658575 ]]
[[150.48254    12.355324  149.09804     5.8335943  22.581251   22.080784 ]],[[156.19759   12.871651 154.62155    6.23663   23.638699  22.707613]]
[[150.48074   12.343632 149.10022    5.848898  22.577574  22.074766]],[[156.17537    12.918377  154.59132     6.2177997  23.644264   22.747448 ]]
[[150.47974   12.331087 149.1035     5.863903  22.577261  22.072527]],[[156.15059   12.959394 154.55975    6.199702  23.64413   22.779594]]
[[150.47823    12.319372  149.10597     5.8768287  22.57929    22.073963 ]],[[156.12498   12.991596 154.52928    6.187263  23.640884  22.806622]]
[[150.47827    12.306903  149.10944     5.8898435  22.584494   22.077667 ]],[[156.09921    13.016212  154.50037     6.1788054  23.632236   22.82682  ]]
[[150.47997    12.2951    149.11418     5.9000993  22.592257   22.083088 ]],[[156.08278    13.038113  154.48167     6.1704745  23.61591    22.838356 ]]
[[150.47896    12.285181  149.11652     5.9097495  22.603159   22.092241 ]],[[156.0677     13.05747   154.4648      6.1611915  23.598204   22.847025 ]]
[[150.47578    12.280042  149.11491     5.9203267  22.619091   22.107168 ]],[[156.05885   13.070122 154.45609    6.146134  23.572277  22.846052]]
[[150.47359   12.27633  149.11378    5.928954  22.637657  22.12482 ]],[[156.05531    13.075999  154.4547      6.1257243  23.535809   22.833433 ]]
[[150.47263   12.273112 149.11424    5.937238  22.655914  22.142262]],[[156.04907   13.079136 154.45102    6.109612  23.50021   22.820065]]
[[150.46936   12.270144 149.11269    5.946317  22.675404  22.160435]],[[156.0457     13.084173  154.44989     6.0917764  23.4625     22.804691 ]]
[[150.46588   12.266233 149.11032    5.956217  22.695232  22.177975]],[[156.04286    13.089761  154.44907     6.0748563  23.423977   22.788261 ]]
[[150.46097   12.262805 149.1065     5.964373  22.71462   22.196596]],[[156.03894   13.094877 154.44716    6.059551  23.387638  22.772823]]
[[150.45529   12.255916 149.10309    5.971696  22.729935  22.21057 ]],[[156.03268   13.098221 154.44308    6.047154  23.354618  22.759144]]
[[150.4488     12.244203  149.10054     5.9793143  22.738766   22.217707 ]],[[156.02443    13.10182   154.43692     6.0322595  23.3236     22.746323 ]]
[[150.44319   12.229395 149.10014    5.987124  22.742655  22.221521]],[[156.01271    13.104152  154.42743     6.0196524  23.294441   22.734276 ]]
[[150.4374    12.215201 149.09908    5.995678  22.74685   22.225317]],[[155.99718    13.104267  154.41452     6.0099626  23.267963   22.72345  ]]
[[150.43765   12.208117 149.10094    6.005488  22.756311  22.234793]],[[155.98311   13.083134 154.40887    5.990169  23.265118  22.748228]]
[[150.43904    12.204968  149.10312     6.0147386  22.766592   22.245918 ]],[[155.96712   13.053431 154.40344    5.971055  23.272146  22.785496]]
[[150.43948    12.203313  149.10417     6.0240865  22.775944   22.256044 ]],[[155.94975   13.023833 154.39655    5.951779  23.279644  22.822641]]
[[150.43568    12.1946125 149.1036      6.0352116  22.777521   22.257748 ]],[[155.93031    12.993557  154.38766     5.9330273  23.287949   22.859692 ]]
[[150.43095    12.193546  149.10135     6.0451756  22.779978   22.261139 ]],[[155.90814   12.962309 154.37613    5.915997  23.297956  22.897274]]
[[150.42792    12.195727  149.09944     6.0541945  22.783857   22.265604 ]],[[155.88292    12.930103  154.36163     5.8999486  23.309677   22.935385 ]]
[[150.42609    12.20648   149.09718     6.0619297  22.79279    22.273937 ]],[[155.8542    12.896555 154.34381    5.885822  23.323673  22.974333]]
[[150.42256   12.221086 149.09267    6.065863  22.800737  22.2812  ]],[[155.82405    12.86287   154.32458     5.8700676  23.338223   23.013515 ]]
[[150.41486    12.231656  149.08392     6.0667253  22.805153   22.283585 ]],[[155.7921    12.828537 154.30368    5.853905  23.35358   23.052998]]
[[150.40822    12.241987  149.07668     6.0613055  22.80344    22.279377 ]],[[155.75787   12.793348 154.28067    5.837868  23.370424  23.093298]]
[[150.3991     12.250512  149.06697     6.0549884  22.801392   22.27365  ]],[[155.72069    12.757069  154.25484     5.8219595  23.389399   23.134949 ]]
[[150.3868     12.248761  149.05792     6.0458384  22.787888   22.255127 ]],[[155.68044    12.719399  154.22615     5.8068457  23.410957   23.17817  ]]
[[150.37083    12.260209  149.04135     6.0151763  22.7885     22.249655 ]],[[155.6391    12.681068 154.1965     5.792004  23.433596  23.222176]]
[[150.3586     12.276485  149.02728     5.9832664  22.787086   22.241434 ]],[[155.59659    12.6420965 154.16574     5.778182   23.457481   23.267063 ]]
[[150.34677    12.278289  149.01735     5.9474335  22.774052   22.22086  ]],[[155.55247   12.60219  154.13353    5.765667  23.482803  23.312786]]
[[150.3282     12.279444  149.00244     5.9057217  22.76065    22.199713 ]],[[155.50693    12.561724  154.09991     5.7539945  23.509361   23.358932 ]]
[[150.30943    12.279931  148.9883      5.8588624  22.748222   22.179567 ]],[[155.45982   12.520405 154.06485    5.743609  23.537449  23.405828]]
[[150.28563    12.282428  148.96815     5.8135233  22.739332   22.163399 ]],[[155.41179    12.478779  154.02887     5.7337594  23.566456   23.453259 ]]
[[150.25581    12.28389   148.94164     5.7572236  22.735424   22.151293 ]],[[155.36258    12.436695  153.99178     5.7245526  23.596573   23.501404 ]]
[[150.22356    12.281319  148.91428     5.7019672  22.728947   22.13801  ]],[[155.31212    12.394037  153.95349     5.7161202  23.627892   23.550394 ]]
[[150.18675    12.278599  148.88304     5.6177206  22.730045   22.127518 ]],[[155.26045   12.351101 153.91403    5.707833  23.660778  23.600197]]
[[150.14494    12.281864  148.84538     5.5421247  22.738995   22.12812  ]],[[155.20781    12.307741  153.87363     5.6997457  23.69526    23.651056 ]]
[[150.10213   12.281096 148.80774    5.51644   22.74754   22.14148 ]],[[155.15422   12.263893 153.83234    5.691648  23.731375  23.703266]]
[[150.05777   12.273488 148.76917    5.487174  22.757399  22.15618 ]],[[155.09962    12.219473  153.79016     5.6834197  23.769201   23.757048 ]]
[[150.01614    12.258562  148.73364     5.4641714  22.771227   22.17984  ]],[[155.04393   12.174461 153.74698    5.67496   23.808937  23.812672]]
[[149.97234    12.238697  148.69748     5.4443903  22.789097   22.210648 ]],[[154.98795   12.12938  153.70349    5.666061  23.84917   23.868797]]
[[149.9232     12.217628  148.65862     5.4229584  22.812832   22.248655 ]],[[154.93138   12.084002 153.65952    5.656962  23.890144  23.92584 ]]
[[149.87534    12.191892  148.6206      5.4076867  22.843262   22.29856  ]],[[154.87465   12.038567 153.61536    5.647527  23.93154   23.983633]]
[[149.82234    12.159819  148.58043     5.4038687  22.881182   22.3617   ]],[[154.81764   11.993019 153.57092    5.637639  23.973518  24.042456]]
[[149.769     12.124611 148.54268    5.405597  22.923992  22.433308]],[[154.76031    11.947218  153.52625     5.6271005  24.015919   24.102365 ]]
[[149.7126     12.083058  148.50421     5.4168544  22.975077   22.517946 ]],[[154.70392    11.901205  153.48259     5.6155915  24.057257   24.162045 ]]
[[149.65108    12.0286045 148.46309     5.4506383  23.030891   22.616623 ]],[[154.64865   11.85494  153.44019    5.603025  24.097404  24.22205 ]]
[[149.59268    11.971725  148.42712     5.4850354  23.101126   22.731195 ]],[[154.5948    11.808412 153.39934    5.589585  24.135777  24.282036]]
[[149.53055   11.912437 148.38983    5.528575  23.184217  22.862568]],[[154.54231    11.761738  153.36002     5.5754895  24.17199    24.341663 ]]
[[149.4677    11.837129 148.35486    5.593226  23.269266  23.005096]],[[154.4911    11.714752 153.3222     5.561033  24.205359  24.400637]]
[[149.40181    11.758736  148.32005     5.6662517  23.369734   23.16716  ]],[[154.44221   11.667592 153.28694    5.546341  24.234318  24.45744 ]]
[[149.33624   11.670678 148.28853    5.7563    23.478771  23.343945]],[[154.39436   11.620406 153.25287    5.533296  24.258902  24.510689]]
[[149.26587   11.574654 148.25513    5.868856  23.601778  23.544283]],[[154.34799    11.573116  153.2205      5.5216603  24.280201   24.561527 ]]
[[149.19983   11.464837 148.2309     5.996833  23.72589   23.751831]],[[154.30507    11.521128  153.19296     5.5249505  24.312502   24.62434  ]]
[[149.13168    11.344704  148.20813     6.1434975  23.859402   23.975636 ]],[[154.2681    11.438884 153.17854    5.626313  24.418827  24.770994]]
[[149.06383   11.213361 148.1892     6.316382  23.996916  24.212282]],[[154.22942    11.314224  153.16815     5.9092402  24.518467   25.01986  ]]
[[148.99556   11.067499 148.17528    6.507308  24.130243  24.44894 ]],[[154.19803    11.189064  153.16647     6.1591115  24.635027   25.269018 ]]
[[148.9239     10.907759  148.16171     6.7219696  24.267076   24.697273 ]],[[154.17279   11.06124  153.17294    6.378093  24.770563  25.519714]]
[[148.85338   10.738609 148.15213    6.958881  24.40577   24.953514]],[[154.14998    10.927897  153.18422     6.5812497  24.921766   25.772491 ]]
[[148.78781   10.559721 148.15154    7.218579  24.550663  25.222082]],[[154.13147   10.7854   153.20331    6.766663  25.092302  26.02903 ]]
[[148.72293    10.369422  148.15369     7.4905005  24.69695    25.494087 ]],[[154.11145    10.634982  153.224       6.9493337  25.268082   26.280613 ]]
[[148.66212   10.161219 148.16046    7.78628   24.838373  25.766148]],[[154.08238   10.47629  153.23991    7.166949  25.439877  26.518486]]
[[148.60075    9.941633 148.16745    8.106066  24.985563  26.051708]],[[154.04248   10.30949  153.24864    7.389501  25.614483  26.74853 ]]
[[148.54376    9.715682 148.17639    8.437117  25.129995  26.337315]],[[153.99306   10.133719 153.2514     7.594049  25.795082  26.972641]]
[[148.49127     9.4780655 148.18913     8.780066   25.279621   26.62818  ]],[[153.93312    9.853878 153.24939    8.007932  26.35931   27.558369]]
[[148.43893    9.22772  148.19997    9.139958  25.431286  26.927769]],[[153.92557    9.590848 153.29628    8.487887  26.627262  27.93581 ]]
[[148.38095    8.962583 148.20573    9.508575  25.570917  27.215538]],[[153.9228     9.332668 153.34882    8.954983  26.757362  28.202835]]
[[148.32112    8.686267 148.20822    9.883627  25.71372   27.506659]],[[153.90111    9.053944 153.38742    9.454873  26.867403  28.454308]]
[[148.26442    8.400812 148.21242   10.26761   25.856462  27.79997 ]],[[153.87029    8.759502 153.41937   10.034622  27.002169  28.730337]]
[[148.19884    8.120427 148.20348   10.645201  26.007467  28.0993  ]],[[153.8335     8.471403 153.44452   10.554683  27.160248  28.995586]]
[[148.14905    7.84357  148.20564   11.043585  26.155651  28.401594]],[[153.77605    8.184946 153.4484    11.068426  27.32021   29.254076]]
[[148.09682    7.571807 148.20111   11.439874  26.305597  28.701916]],[[153.69402    7.900886 153.4267    11.577258  27.48118   29.51033 ]]
[[148.04741    7.300621 148.1965    11.838131  26.452894  28.99844 ]],[[153.5809      7.6187882 153.37308    12.085039   27.632444   29.757034 ]]
[[147.99933    7.033734 148.18977   12.237023  26.59758   29.290308]],[[153.46475    7.35671  153.3122    12.568834  27.750057  29.962828]]
[[147.94696     6.7759843 148.17487    12.622907   26.745768   29.57712  ]],[[153.35727    7.163813 153.24258   13.038451  27.817638  30.119898]]
[[147.89114    6.532859 148.15073   13.001552  26.902185  29.86793 ]],[[153.26642     7.0371537 153.17316    13.522035   27.820171   30.218332 ]]
[[147.8373     6.316583 148.11948   13.372312  27.05587   30.152184]],[[153.18086    6.927414 153.1047    13.981693  27.866467  30.331005]]
[[147.78868     6.1227474 148.0855     13.737994   27.222942   30.448732 ]],[[153.10643     6.8365893 153.04242    14.384374   27.993797   30.481033 ]]
[[147.73682    5.942405 148.0444    14.108136  27.383095  30.731487]],[[153.06053    6.771595 153.00203   14.688381  28.24445   30.68777 ]]
[[147.68152    5.77905  147.99403   14.469262  27.549885  31.016474]],[[153.03053     6.7348094 152.97159    14.902903   28.548662   30.903997 ]]
[[147.61905     5.6453905 147.9284     14.813859   27.726875   31.302698 ]],[[153.0335      6.7310176 152.96815    15.009883   28.872272   31.097738 ]]
[[147.56009     5.5370636 147.85757    15.149257   27.90821    31.587143 ]],[[153.07632     6.7525597 152.99911    15.032443   29.267452   31.327793 ]]
[[147.49673     5.45737   147.77385    15.4770155  28.09473    31.869724 ]],[[153.1717     6.803685 153.07707   14.936319  29.739824  31.57923 ]]
[[147.42772     5.3989635 147.67812    15.779733   28.285585   32.1468   ]],[[153.33063    6.898115 153.21089   14.649396  30.306675  31.838707]]
[[147.36115    5.366938 147.57817   16.083767  28.490145  32.43471 ]],[[153.5671      7.0351367 153.4121     14.188654   31.03621    32.20125  ]]
[[147.29372     5.3639593 147.46933    16.379011   28.704666   32.72485  ]],[[153.84932     7.1602473 153.64862    13.870672   32.018364   32.97542  ]]
[[147.22116     5.3909187 147.34714    16.688555   28.920866   33.011536 ]],[[153.93361     7.3780437 153.64195    13.131747   34.05071    34.587494 ]]
[[147.15065     5.4399157 147.22055    16.987629   29.146246   33.302322 ]],[[153.48021    7.753489 153.07562   11.689946  35.30473   35.274895]]
[[147.07674     5.5093126 147.08691    17.218546   29.38593    33.58518  ]],[[152.05519    7.818334 151.58897   12.248293  36.558193  36.861732]]
[[147.00827    5.608046 146.95262   17.440619  29.63814   33.87111 ]],[[151.32265    6.854979 151.28467   14.932829  31.869598  37.85652 ]]
[[146.93314     5.7372766 146.80719    17.635944   29.899254   34.156258 ]],[[151.45297    6.240724 151.73907   15.018724  27.326365  36.75802 ]]
[[146.85324     5.8915854 146.65292    17.812939   30.176142   34.449684 ]],[[151.13223    5.849151 151.54889   16.084034  26.682268  37.5258  ]]
[[146.76878     6.0606275 146.49083    17.96829    30.467762   34.748386 ]],[[150.80673     5.6682305 151.2471     16.883827   27.592554   38.420692 ]]
[[146.68636     6.2540016 146.32838    18.1084     30.769876   35.047966 ]],[[150.40964    5.740239 150.77481   17.401606  29.048464  39.267006]]
[[146.61066     6.4688334 146.16884    18.228289   31.083542   35.347202 ]],[[150.22963    6.346299 150.3761    17.438208  30.176968  39.613266]]
[[146.52844     6.6957297 146.00104    18.330406   31.41123    35.65363  ]],[[150.15779     6.7703967 150.14262    17.312601   31.116852   39.78004  ]]
[[146.43831     6.9359846 145.8251     18.406387   31.75115    35.961647 ]],[[150.15619     7.1409373 149.99744    17.04501    32.023617   39.894665 ]]
[[146.35068     7.1911116 145.65149    18.460527   32.11087    36.27916  ]],[[150.15584     7.4648843 149.87262    16.816216   32.734383   39.94699  ]]
[[146.25964     7.4538856 145.47534    18.495462   32.4775     36.59231  ]],[[150.15259     7.7730975 149.75385    16.799053   33.23968    40.009743 ]]
[[146.17409     7.7162805 145.30663    18.522118   32.853542   36.912186 ]],[[150.13283    8.063501 149.62471   16.857857  33.678444  40.10772 ]]
[[146.08467     7.9917107 145.13553    18.525732   33.242344   37.232258 ]],[[150.09558    8.329235 149.4817    16.988579  34.15847   40.240547]]
[[145.99501    8.266073 144.96605   18.514168  33.63188   37.54436 ]],[[150.02518    8.576736 149.30853   17.258085  34.63384   40.466835]]
[[145.90427    8.54106  144.7985    18.493143  34.02855   37.85903 ]],[[149.93054    8.785455 149.12215   17.641468  35.054565  40.750626]]
[[145.81938    8.812749 144.64047   18.451574  34.421734  38.15829 ]],[[149.82283    9.026637 148.9127    18.020823  35.51357   41.107834]]
[[145.7284     9.084545 144.47887   18.395506  34.82026   38.457813]],[[149.72633    9.354699 148.68912   18.293167  36.0825    41.535713]]
[[145.64116    9.355392 144.32289   18.335667  35.216007  38.752167]],[[149.63261    9.691088 148.47441   18.511446  36.60165   41.89853 ]]
[[145.55548    9.624823 144.16895   18.258207  35.60874   39.032333]],[[149.5517    10.021641 148.27634   18.689613  37.09376   42.209198]]
[[145.46967    9.885399 144.01706   18.16952   36.003895  39.310497]],[[149.47978   10.317993 148.09897   18.820261  37.516335  42.473988]]
[[145.38586   10.128056 143.87294   18.068554  36.400608  39.586533]],[[149.40038   10.572544 147.92755   18.93233   37.880306  42.716778]]
[[145.31306   10.36077  143.73987   17.966568  36.794704  39.85528 ]],[[149.3435    10.796728 147.789     18.961643  38.232754  42.92332 ]]
[[145.23413   10.576129 143.60103   17.848429  37.177124  40.1089  ]],[[149.34114   10.999092 147.71199   18.899193  38.57642   43.06436 ]]
[[145.15819   10.770938 143.46901   17.730267  37.555775  40.363556]],[[149.35962   11.173857 147.66501   18.774843  38.88765   43.15296 ]]
[[145.08145   10.954245 143.33841   17.604588  37.931343  40.612816]],[[149.39      11.306383 147.64471   18.631136  39.12866   43.21939 ]]
[[145.00624   11.124218 143.21121   17.466875  38.293266  40.84758 ]],[[149.40742    11.4164505 147.6192     18.46577    39.33517    43.261917 ]]
[[144.92847    11.2734375 143.08653    17.331106   38.661156   41.09232  ]],[[149.42021   11.513693 147.59384   18.314941  39.500923  43.293976]]
[[144.84525   11.410757 142.95839   17.197714  39.023357  41.337402]],[[149.42871   11.593201 147.57002   18.170876  39.619087  43.29718 ]]
[[144.76445   11.543138 142.8344    17.065027  39.3764    41.572163]],[[149.43445   11.658259 147.54832   18.03586   39.70059   43.280663]]
[[144.68242   11.666646 142.71147   16.939342  39.72595   41.811207]],[[149.44708   11.737003 147.53094   17.912617  39.808453  43.29144 ]]
[[144.60333   11.784993 142.5937    16.819986  40.06406   42.04429 ]],[[149.44237   11.901865 147.47263   17.820946  40.101166  43.444595]]
[[144.52353   11.897905 142.47726   16.707354  40.39574   42.275955]],[[149.42079   12.07053  147.39636   17.781826  40.431652  43.672005]]
[[144.45834   12.008661 142.37636   16.610455  40.720043  42.507687]],[[149.38153   12.211222 147.31206   17.817308  40.72824   43.981403]]
[[144.3795    12.105556 142.26622   16.504581  41.042233  42.736507]],[[149.3294    12.34014  147.2181    17.843811  41.02059   44.27822 ]]
[[144.30626   12.200243 142.16249   16.412516  41.356136  42.963863]],[[149.26953   12.463226 147.11838   17.865278  41.306698  44.560837]]
[[144.2267    12.291199 142.0532    16.32251   41.657043  43.183376]],[[149.19368   12.584487 147.00311   17.887424  41.59035   44.82692 ]]
[[144.14648   12.379685 141.94424   16.237686  41.94754   43.39831 ]],[[149.10403   12.705833 146.87378   17.911577  41.87591   45.081024]]
[[144.07109   12.471686 141.83914   16.171705  42.22503   43.61136 ]],[[148.99791   12.84297  146.72372   17.949951  42.153225  45.328457]]
[[143.99644   12.565469 141.7344    16.119526  42.489727  43.81964 ]],[[148.87779   12.994246 146.55597   17.998062  42.431446  45.571205]]
[[143.9188    12.647716 141.63092   16.070555  42.75248   44.029766]],[[148.74153   13.165502 146.36646   18.064095  42.722183  45.820072]]
[[143.83633   12.729684 141.52292   16.021872  43.00137   44.227356]],[[148.59514   13.349829 146.16336   18.138231  43.018505  46.067192]]
[[143.75752   12.811235 141.41808   15.982946  43.242218  44.423206]],[[148.44472   13.547161 145.95316   18.216393  43.325848  46.317116]]
[[143.67726   12.893482 141.31151   15.949929  43.46831   44.60639 ]],[[148.29774   13.739777 145.74832   18.282108  43.62266   46.55777 ]]
[[143.60078    12.9741745 141.20953    15.926794   43.685036   44.784977 ]],[[148.14622   13.934288 145.53851   18.343632  43.92329   46.799416]]
[[143.52457   13.057108 141.10678   15.912221  43.8911    44.955856]],[[147.99652   14.124486 145.33232   18.38999   44.224926  47.037186]]
[[143.44888   13.136634 141.00497   15.898823  44.086452  45.11821 ]],[[147.85106   14.303791 145.13431   18.413576  44.519554  47.265175]]
[[143.37952   13.21655  140.90944   15.899239  44.273037  45.276054]],[[147.7079    14.463675 144.94402   18.42624   44.80599   47.487785]]
[[143.3087    13.299722 140.81216   15.896522  44.4454    45.419144]],[[147.5645    14.613607 144.7563    18.426973  45.089478  47.705456]]
[[143.23293    13.3766165 140.71214    15.891727   44.608997   45.55434  ]],[[147.41893   14.758209 144.56805   18.417545  45.373486  47.920135]]
[[143.16296   13.447469 140.61932   15.898278  44.76753   45.691174]],[[147.2707    14.90332  144.37708   18.399311  45.663166  48.133583]]
[[143.0924    13.515436 140.52768   15.904302  44.915657  45.81794 ]],[[147.12613   15.054577 144.18887   18.370434  45.952244  48.34213 ]]
[[143.02722   13.584884 140.44058   15.925233  45.052044  45.939564]],[[147.02959   15.205261 144.05475   18.283241  46.146805  48.471474]]
[[142.95885   13.649409 140.35185   15.945883  45.18088   46.057728]],[[146.92818   15.377839 143.91052   18.187689  46.34666   48.59851 ]]
[[142.89677   13.70754  140.27138   15.966395  45.3071    46.172935]],[[146.82375   15.564833 143.75986   18.08687   46.54421   48.72037 ]]
[[142.84045   13.762527 140.19753   15.985827  45.421318  46.275284]],[[146.71822   15.76173  143.60602   17.973139  46.73208   48.82968 ]]
[[142.79071   13.816555 140.13074   16.012918  45.52525   46.370533]],[[146.61284   15.965235 143.45113   17.846832  46.907063  48.925476]]
[[142.7367    13.865951 140.06155   16.034164  45.624798  46.46211 ]],[[146.51332   16.16367  143.30394   17.707779  47.06654   49.005993]]
[[142.67705   13.910268 139.98828   16.049175  45.713646  46.544422]],[[146.42076   16.355553 143.16583   17.554598  47.213802  49.07216 ]]
[[142.626     13.951466 139.92471   16.064686  45.796444  46.616657]],[[146.33629   16.538614 143.03854   17.39098   47.349884  49.12596 ]]
[[142.58417   13.988993 139.87114   16.083792  45.873756  46.68163 ]],[[146.26294   16.708921 142.92609   17.218464  47.47354   49.167206]]
[[142.54333   14.025111 139.81929   16.092175  45.939148  46.730366]],[[146.20158   16.866886 142.8291    17.041672  47.590786  49.201126]]
[[142.50952   14.055375 139.77606   16.111456  46.004112  46.783646]],[[146.15236   17.011938 142.74777   16.864859  47.704967  49.2315  ]]
[[142.47478   14.083225 139.73302   16.121212  46.060368  46.824406]],[[146.11821   17.136223 142.68723   16.68289   47.803333  49.248047]]
[[142.45055   14.107782 139.70123   16.133877  46.11099   46.85911 ]],[[146.10078   17.239595 142.6489    16.502968  47.88837   49.25432 ]]
[[142.43864   14.13767  139.67903   16.159014  46.154106  46.888016]],[[146.10283   17.316576 142.63693   16.327251  47.95916   49.248016]]
[[142.4285    14.165049 139.65955   16.174417  46.192062  46.90823 ]],[[146.12277   17.366772 142.64995   16.148348  48.011097  49.22313 ]]
[[142.42026   14.186059 139.64389   16.188278  46.229645  46.929794]],[[146.16133   17.385847 142.68976   15.968353  48.042797  49.1792  ]]
[[142.41222    14.2032585 139.63004    16.196808   46.26233    46.94674  ]],[[146.2118    17.379522 142.74786   15.788643  48.054905  49.11652 ]]
[[142.40692   14.217984 139.61967   16.199238  46.2879    46.95243 ]],[[146.2722     17.347052  142.82234    15.6140175  48.04919    49.038284 ]]
[[142.40715   14.22638  139.61717   16.207514  46.315826  46.962738]],[[146.33824   17.288176 142.909     15.441114  48.024433  48.941193]]
[[142.41151   14.231521 139.61955   16.218685  46.341095  46.973392]],[[146.41016   17.206524 143.00714   15.276169  47.993587  48.837646]]
[[142.43045   14.243211 139.63344   16.235466  46.358948  46.972702]],[[146.48512   17.112204 143.11136   15.121001  47.97039   48.73946 ]]
[[142.4407    14.245935 139.64223   16.240889  46.37491   46.974903]],[[146.56358    16.999971  143.22333    14.9779415  47.95141    48.641987 ]]
