Label,Preds
[[150.11595    10.958961  148.74266     7.4068003  23.532534   22.298187 ]],[[155.55446    11.3308735 154.51671     7.5995536  24.44901    23.354486 ]]
[[150.1151     10.948597  148.74605     7.4134254  23.521847   22.2827   ]],[[155.53688   11.323494 154.50208    7.611044  24.472967  23.375788]]
[[150.11356   10.940642 148.74857    7.414928  23.516064  22.272745]],[[155.52019   11.316631 154.48807    7.625009  24.498991  23.399101]]
[[150.10797    10.929567  148.74841     7.4198627  23.511126   22.263458 ]],[[155.51004    11.310069  154.48044     7.6450996  24.526148   23.423634 ]]
[[150.10637   10.924525 148.75056    7.429728  23.51238   22.261253]],[[155.50632    11.3028965 154.47922     7.6732106  24.553547   23.448927 ]]
[[150.10716    10.91433   148.75627     7.4277573  23.514055   22.258793 ]],[[155.50882   11.293556 154.4846     7.706721  24.581148  23.47501 ]]
[[150.10849    10.900477  148.7644      7.4413424  23.514341   22.255705 ]],[[155.51637    11.281424  154.49548     7.7448378  24.608896   23.50201  ]]
[[150.10918   10.885114 148.77307    7.455353  23.519638  22.257624]],[[155.52708   11.266081 154.51007    7.786226  24.637554  23.530724]]
[[150.10907   10.870704 148.78093    7.463601  23.536997  22.272   ]],[[155.5388     11.247967  154.5261      7.8312955  24.665472   23.560501 ]]
[[150.10553   10.851039 148.78648    7.472494  23.555647  22.286474]],[[155.55122    11.226062  154.54352     7.8784084  24.69194    23.590296 ]]
[[150.10326    10.8312    148.79398     7.4778047  23.580952   22.30823  ]],[[155.56346   11.200573 154.5614     7.925744  24.717604  23.620426]]
[[150.10005   10.814881 148.80025    7.492576  23.61857   22.343225]],[[155.5742     11.171421  154.57846     7.9731517  24.742695   23.650959 ]]
[[150.09818    10.794488  148.80928     7.5074096  23.664852   22.388292 ]],[[155.58372   11.138272 154.59503    8.018778  24.7663    23.680939]]
[[150.09526    10.772725  148.8184      7.5173497  23.719202   22.441895 ]],[[155.58978   11.101907 154.60873    8.06172   24.787615  23.709814]]
[[150.09091   10.747464 148.82768    7.535798  23.782192  22.506592]],[[155.59221   11.062202 154.61942    8.10308   24.807968  23.73861 ]]
[[150.08737    10.720162  148.83884     7.5535707  23.854774   22.58266  ]],[[155.59525   11.004368 154.63556    8.131365  24.843365  23.793854]]
[[150.08241   10.68375  148.85115    7.569954  23.934818  22.670221]],[[155.60506   10.926205 154.66386    8.151136  24.895235  23.877876]]
[[150.07799    10.6449995 148.86543     7.5884376  24.025465   22.77184  ]],[[155.61502   10.843288 154.69313    8.17162   24.948662  23.96555 ]]
[[150.06984    10.598431  148.8775      7.6081505  24.125885   22.885986 ]],[[155.62103    10.7565365 154.71916     8.188577   25.003635   24.056267 ]]
[[150.06285   10.546141 148.89403    7.613746  24.23998   23.01527 ]],[[155.62154    10.6654625 154.74051     8.200902   25.059677   24.150114 ]]
[[150.05266   10.492325 148.9091     7.617303  24.367512  23.159868]],[[155.61287   10.568606 154.7539     8.205105  25.120266  24.25214 ]]
[[150.04094   10.424011 148.92516    7.625115  24.501726  23.315792]],[[155.59596   10.46676  154.7601     8.204115  25.183582  24.359676]]
[[150.03035    10.339669  148.94562     7.6312504  24.644526   23.485899 ]],[[155.57152   10.360979 154.75949    8.198597  25.24821   24.470575]]
[[150.01852    10.235934  148.96715     7.6325593  24.796991   23.668879 ]],[[155.53648   10.250627 154.74924    8.186734  25.31516   24.587318]]
[[150.0023     10.112459  148.9875      7.6488376  24.960894   23.871218 ]],[[155.49362    10.1382065 154.73157     8.16831    25.37833    24.7014   ]]
[[149.98434    9.964037 149.00937    7.654657  25.135284  24.087122]],[[155.44617   10.025799 154.70923    8.146316  25.434912  24.807714]]
[[149.96318     9.791731  149.03004     7.6635923  25.311262   24.311668 ]],[[155.39519    9.914802 154.68285    8.122942  25.485977  24.906876]]
[[149.93622     9.589404  149.05058     7.6876283  25.483374   24.543438 ]],[[155.34395    9.786665 154.66       8.168187  25.584736  25.0553  ]]
[[149.90721    9.36629  149.07152    7.710718  25.650164  24.776152]],[[155.2945     9.637733 154.64365    8.30196   25.74511   25.267307]]
[[149.8778      9.129579  149.09497     7.7379465  25.810059   25.009174 ]],[[155.24474    9.491819 154.62611    8.430345  25.901367  25.47337 ]]
[[149.8429      8.883853  149.11635     7.7714996  25.971386   25.250126 ]],[[155.19543    9.351833 154.60748    8.548954  26.051003  25.669851]]
[[149.80913     8.6314745 149.1419      7.8188596  26.130548   25.497942 ]],[[155.1454     9.222294 154.58548    8.651308  26.191715  25.853481]]
[[149.77313     8.37299   149.16725     7.8732123  26.287313   25.74935  ]],[[155.09392    9.100065 154.56035    8.746439  26.323095  26.02568 ]]
[[149.73349     8.117092  149.18886     7.9338284  26.444963   26.004658 ]],[[155.04164    8.983302 154.53323    8.83889   26.446098  26.187963]]
[[149.69016     7.8491244 149.20927     7.9918194  26.591227   26.24873  ]],[[154.9869     8.867303 154.50345    8.932967  26.568462  26.349768]]
[[149.65472     7.5807796 149.2379      8.065233   26.729336   26.491894 ]],[[154.93008    8.753123 154.47122    9.029147  26.689976  26.511211]]
[[149.62517    7.318606 149.27084    8.14484   26.860422  26.733763]],[[154.8719     8.641418 154.43712    9.13532   26.818825  26.682037]]
[[149.59201     7.0595655 149.29915     8.222895   26.985079   26.967459 ]],[[154.81218    8.532789 154.40088    9.246497  26.948675  26.855103]]
[[149.55745     6.8060484 149.32361     8.313127   27.106117   27.203224 ]],[[154.7513     8.427449 154.36281    9.361022  27.076092  27.026613]]
[[149.52502    6.560644 149.34723    8.407707  27.22027   27.430933]],[[154.68755    8.322329 154.32195    9.483058  27.20645   27.203482]]
[[149.48534     6.3278546 149.36003     8.51452    27.328026   27.65741  ]],[[154.62088    8.217764 154.27817    9.612624  27.337444  27.383255]]
[[149.4465     6.106463 149.36928    8.617728  27.433807  27.878252]],[[154.55049    8.113342 154.23087    9.747094  27.468246  27.565239]]
