AA_SN_X,AA_SN_Y,AA_SN_Z,GH_AA_X,GH_AA_Y,GH_AA_Z,GH_SN_X,GH_SN_Y,GH_SN_Z
41.99,7.29,42.59,52.87,41.05,61.22,11.01,47.96,48.77
41.71,7.41,42.33,52.84,40.94,61.27,11.23,47.96,48.86
41.74,7.42,42.36,52.87,40.93,61.29,11.23,47.95,48.86
41.99,7.61,42.66,52.81,40.83,60.97,10.94,47.97,48.8
41.92,7.65,42.59,52.57,40.83,60.77,10.8,48.04,48.81
42.0,7.53,42.65,52.73,40.9,60.93,10.86,47.97,48.77
41.85,7.4,42.47,52.96,40.93,61.28,11.21,47.91,48.81
41.95,7.49,42.59,53.05,40.91,61.4,11.19,47.97,48.89
41.99,7.44,42.62,52.69,40.97,61.02,10.83,48.0,48.79
42.02,7.44,42.66,52.66,40.98,60.81,10.8,47.98,48.72
41.98,7.48,42.62,52.66,40.95,60.91,10.82,47.99,48.77
41.88,7.35,42.48,52.83,40.97,61.38,11.06,47.97,48.85
41.98,7.53,42.63,52.95,40.97,61.45,11.04,48.07,49.0
41.98,7.44,42.61,52.95,41.0,61.45,11.05,48.03,48.94
42.03,7.41,42.66,52.76,41.0,61.08,10.86,47.98,48.79
42.02,7.41,42.65,52.78,41.01,61.17,10.87,47.99,48.83
42.01,7.45,42.65,52.94,41.03,61.45,11.0,48.04,48.95
41.99,7.37,42.61,53.07,41.02,61.61,11.15,47.98,48.93
41.76,7.5,42.39,52.85,40.9,61.54,11.15,48.03,49.0
42.03,7.36,42.65,52.93,41.05,61.48,10.96,47.99,48.9
41.95,7.34,42.56,52.69,41.01,61.16,10.85,47.97,48.79
41.92,7.34,42.53,52.69,41.03,61.24,10.87,47.99,48.84
42.01,7.18,42.58,52.88,41.11,61.56,10.96,47.97,48.84
42.1,7.22,42.67,52.96,41.13,61.62,10.95,48.01,48.89
42.16,7.27,42.75,52.94,41.16,61.57,10.86,48.06,48.93
42.09,7.24,42.67,52.89,41.15,61.53,10.9,48.05,48.9
41.99,7.29,42.57,52.63,41.1,61.28,10.77,48.08,48.88
41.9,7.3,42.48,52.57,41.08,61.22,10.8,48.05,48.86
41.99,7.32,42.59,52.78,41.07,61.31,10.9,48.02,48.86
42.08,7.28,42.68,52.93,41.15,61.44,10.94,48.02,48.89
41.77,7.23,42.35,52.6,41.1,61.28,10.93,48.0,48.84
41.93,7.15,42.49,52.63,41.19,61.33,10.81,48.02,48.83
42.09,7.25,42.68,52.76,41.18,61.27,10.78,48.05,48.85
41.86,7.21,42.43,52.6,41.16,61.24,10.87,48.03,48.84
41.79,7.08,42.34,52.72,41.19,61.41,11.04,47.96,48.81
41.78,7.07,42.32,52.76,41.18,61.45,11.11,47.97,48.82
41.88,7.2,42.46,52.71,41.17,61.38,10.93,48.03,48.88
41.78,7.26,42.36,52.63,41.11,61.3,10.96,48.03,48.88
41.74,7.26,42.32,52.64,41.1,61.28,11.01,48.01,48.87
41.76,7.26,42.34,52.62,41.1,61.31,10.97,48.04,48.89
41.74,7.23,42.32,52.66,41.11,61.4,11.01,48.03,48.9
41.7,7.25,42.28,52.53,41.11,61.24,10.94,48.04,48.88
41.7,7.25,42.28,52.63,41.09,61.3,11.04,48.01,48.87
41.62,7.34,42.21,51.88,41.03,60.51,10.44,48.05,48.72
41.59,7.31,42.18,52.4,41.0,61.1,10.93,48.0,48.83
41.65,7.2,42.22,52.46,41.08,61.16,10.93,47.96,48.79
41.91,7.26,42.5,52.79,41.09,61.3,10.99,47.96,48.82
41.9,7.21,42.48,52.74,41.12,61.3,10.95,47.97,48.81
41.76,7.23,42.34,52.61,41.06,61.23,10.96,47.96,48.8
41.77,7.27,42.36,52.6,41.03,61.19,10.94,47.96,48.8
41.81,7.22,42.39,52.71,41.06,61.29,11.01,47.94,48.79
41.93,7.16,42.5,52.85,41.11,61.42,11.03,47.92,48.79
41.93,7.19,42.51,52.83,41.1,61.36,11.01,47.92,48.78
